source	time	heading	story	url
MIT Technology Review	1549814220	Trump has a plan to keep America first in artificial intelligence	The President will launch the “American AI Initiative” with an executive order.	https://news.google.com/articles/CAIiEHUcjDC9uNV9PbA4bGuIytQqFggEKg0IACoGCAowof8GMMBfMIfW8wU?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics Insight	1549868474	US and China Lead the Artificial Intelligence Patents' Race: United Nations	According to a recent study done by the United Nations World Intellectual Property Organization (WIPO), China and the United States are at the forefront of the ...	https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L3VzLWNoaW5hLWxlYWQtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtcGF0ZW50cy1yYWNlLXVuL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
The New York Times	1549861266	Trump to Sign Executive Order Promoting Artificial Intelligence	President Trump is expected to sign an executive order on Monday meant to spur the development and regulation of artificial intelligence, technology that many ...	https://news.google.com/articles/CAIiEDw3rolb3LjktrzbW4uT754qFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-IN&gl=IN&ceid=IN%3Aen
The New Indian Express	1549837500	Professionals demand ministry for Artificial Intelligence in Kerala	According to Roshy, in the present scenario, 70 percent of job opportunities in the world is linked with Artificial Intelligence.	https://news.google.com/articles/CBMiiAFodHRwOi8vd3d3Lm5ld2luZGlhbmV4cHJlc3MuY29tL2NpdGllcy9rb2NoaS8yMDE5L2ZlYi8xMS9wcm9mZXNzaW9uYWxzLWRlbWFuZC1taW5pc3RyeS1mb3ItYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtaW4tc3RhdGUtMTkzNzExNi5odG1s0gHXAWh0dHBzOi8vd3d3LW5ld2luZGlhbmV4cHJlc3MtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9jaXRpZXMva29jaGkvMjAxOS9mZWIvMTEvcHJvZmVzc2lvbmFscy1kZW1hbmQtbWluaXN0cnktZm9yLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWluLXN0YXRlLTE5MzcxMTYuYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
ComputerWeekly.com	1549872169	Build strategic artificial intelligence, but buy for lower research and development risk	By 2025, 10% of global IT spending will be on artificial intelligence (AI), according to the Let's get real about AI report from OC&C. The research found that 85% ...	https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5jb21wdXRlcndlZWtseS5jb20vbmV3cy8yNTI0NTcyODYvQnVpbGQtc3RyYXRlZ2ljLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWJ1dC1idXktZm9yLWxvd2VyLXJlc2VhcmNoLWFuZC1kZXZlbG9wbWVudC1yaXNr0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Financial Times	1549810800	Prepare students for a future of artificial intelligence	Universities need to ensure high tech fluency for those in every subject area to advance their work.	https://news.google.com/articles/CAIiEDP1QalUVYpBATLsRqAmGnoqFwgEKg8IACoHCAow-4fWBzD4z0gwgtt6?hl=en-IN&gl=IN&ceid=IN%3Aen
ScienceAlert	1549867118	Artificial Intelligence Has Found an Unknown 'Ghost' Ancestor in The Human Genome	Nobody knows who she was, just that she was different: a teenage girl from over 50000 years ago of such strange uniqueness she looked to be a 'hybrid' ...	https://news.google.com/articles/CBMiamh0dHBzOi8vd3d3LnNjaWVuY2VhbGVydC5jb20vYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtaWRlbnRpZmllcy11bmtub3duLWdob3N0LWFuY2VzdG9yLWluLXRoZS1odW1hbi1nZW5vbWXSAbsBaHR0cHM6Ly93d3ctc2NpZW5jZWFsZXJ0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy5zY2llbmNlYWxlcnQuY29tL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWlkZW50aWZpZXMtdW5rbm93bi1naG9zdC1hbmNlc3Rvci1pbi10aGUtaHVtYW4tZ2Vub21lL2FtcD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Independent.ie	1549817400	Wingate and Finchley’s Artificial Intelligence coach earns draw in landmark game	Wingate and Finchley have seen the first results of their move to incorporate artificial intelligence into the coaching set-up after a 1-1 draw in the Isthmian ...	https://news.google.com/articles/CAIiEDvZIZVEHKPAbq9FlO3TwoUqGAgEKg8IACoHCAowseyfCTDMyG8wmtSiAQ?hl=en-IN&gl=IN&ceid=IN%3Aen
The Financial Express	1549827418	Artificial Intelligence jobs: Are you ready for new opportunities as the old ones set to vanish	Are you ready for jobs like data analysts, man-machine coordinators, IT?	https://news.google.com/articles/CAIiEK9zaZZ5VCAHmBJOpfdmhLsqGQgEKhAIACoHCAow55veCjDzvdUBMOW45gU?hl=en-IN&gl=IN&ceid=IN%3Aen
DATAQUEST	1549868214	How Arming your Sales Force with Artificial Intelligence can Unlock Higher Efficiency	What is truly amazing is that Artificial Intelligence continues working even the executive is not, analyzing the outcomes from tasks performed each day.	https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmRxaW5kaWEuY29tL2FybWluZy1zYWxlcy1mb3JjZS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1jYW4tdW5sb2NrLWhpZ2hlci1lZmZpY2llbmN5L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
